1	Oxidoreductases
3.5.4.15	Guanosine deaminase
3.5.4.16	GTP cyclohydrolase I
3.5.4.17	Adenosine-phosphate deaminase
3.5.4.18	ATP deaminase
3.5.4.19	Phosphoribosyl-AMP cyclohydrolase
3.5.4.20	Pyrithiamine deaminase
3.5.4.21	Creatinine deaminase
3.5.4.22	1-pyrroline-4-hydroxy-2-carboxylate deaminase
3.5.4.23	Blasticidin-S deaminase
3.5.4.24	Sepiapterin deaminase
3.5.4.25	GTP cyclohydrolase II
3.5.4.26	Diaminohydroxyphosphoribosylaminopyrimidine deaminase
3.5.4.27	Methenyltetrahydromethanopterin cyclohydrolase
3.5.4.28	S-adenosylhomocysteine deaminase
3.5.4.29	GTP cyclohydrolase IIa
3.5.4.30	dCTP deaminase (dUMP-forming)
3.5.4.31	S-methyl-5'-thioadenosine deaminase
3.5.4.32	8-oxoguanine deaminase
3.5.4.33	tRNA(adenine(34)) deaminase
3.5.4.34	tRNA(Ala)(adenine(37)) deaminase
3.5.4.35	tRNA(cytosine(8)) deaminase
3.5.4.36	mRNA(cytosine(6666)) deaminase
3.5.4.37	Double-stranded RNA adenine deaminase
3.5.4.38	Single-stranded DNA cytosine deaminase
3.5.4.39	GTP cyclohydrolase IV
3.5.4.40	Aminodeoxyfutalosine deaminase
3.5.4.41	5'-deoxyadenosine deaminase
3.5.5.1	Nitrilase
3.5.5.2	Ricinine nitrilase
3.5.5.3	Transferred entry: 4.2.1.104
3.5.5.4	Cyanoalanine nitrilase
3.5.5.5	Arylacetonitrilase
3.5.5.6	Bromoxynil nitrilase
3.5.5.7	Aliphatic nitrilase
3.5.5.8	Thiocyanate hydrolase
3.5.99.1	Riboflavinase
3.5.99.2	Aminopyrimidine aminohydrolase
3.5.99.3	Hydroxydechloroatrazine ethylaminohydrolase
3.5.99.4	N-isopropylammelide isopropylaminohydrolase
3.5.99.5	2-aminomuconate deaminase
3.5.99.6	Glucosamine-6-phosphate deaminase
3.5.99.7	1-aminocyclopropane-1-carboxylate deaminase
3.5.99.8	5-nitroanthranilic acid aminohydrolase
3.5.99.9	2-nitroimidazole nitrohydrolase
3.5.99.10	2-iminobutanoate/2-iminopropanoate deaminase
3.6.1.1	Inorganic diphosphatase
3.6.1.2	Trimetaphosphatase
3.6.1.3	Adenosinetriphosphatase
3.6.1.4	Transferred entry: 3.6.1.3
3.6.1.5	Apyrase
3.6.1.6	Nucleoside diphosphate phosphatase
3.6.1.7	Acylphosphatase
3.6.1.8	ATP diphosphatase
3.6.1.9	Nucleotide diphosphatase
3.6.1.10	Endopolyphosphatase
3.6.1.11	Exopolyphosphatase
3.6.1.12	dCTP diphosphatase
3.6.1.13	ADP-ribose diphosphatase
3.6.1.14	Adenosine-tetraphosphatase
3.6.1.15	Nucleoside-triphosphate phosphatase
3.6.1.16	CDP-glycerol diphosphatase
3.6.1.17	Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical)
3.6.1.18	FAD diphosphatase
3.6.1.19	Nucleoside-triphosphate diphosphatase
3.6.1.20	5'-acylphosphoadenosine hydrolase
3.6.1.21	ADP-sugar diphosphatase
3.6.1.22	NAD(+) diphosphatase
3.6.1.23	dUTP diphosphatase
3.6.1.24	Nucleoside phosphoacylhydrolase
3.6.1.25	Triphosphatase
3.6.1.26	CDP-diacylglycerol diphosphatase
3.6.1.27	Undecaprenyl-diphosphate phosphatase
3.6.1.28	Thiamine-triphosphatase
3.6.1.29	Bis(5'-adenosyl)-triphosphatase
3.6.1.30	Transferred entry: 3.6.1.59 and 3.6.1.62
3.6.1.31	Phosphoribosyl-ATP diphosphatase
3.6.1.32	Transferred entry: 3.6.4.1
3.6.1.33	Transferred entry: 3.6.4.2
3.6.1.34	Transferred entry: 3.6.3.14
3.6.1.35	Transferred entry: 3.6.3.6
3.6.1.36	Transferred entry: 3.6.3.10
3.6.1.37	Transferred entry: 3.6.3.9
3.6.1.38	Transferred entry: 3.6.3.8
3.6.1.39	Thymidine-triphosphatase
3.6.1.40	Guanosine-5'-triphosphate,3'-diphosphate diphosphatase
3.6.1.41	Bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
3.6.1.42	Guanosine-diphosphatase
3.6.1.43	Dolichyldiphosphatase
3.6.1.44	Oligosaccharide-diphosphodolichol diphosphatase
3.6.1.45	UDP-sugar diphosphatase
3.6.1.46	Transferred entry: 3.6.5.1
3.6.1.47	Transferred entry: 3.6.5.2
3.6.1.48	Transferred entry: 3.6.5.3
3.6.1.49	Transferred entry: 3.6.5.4
3.6.1.50	Transferred entry: 3.6.5.5
3.6.1.51	Transferred entry: 3.6.5.6
3.6.1.52	Diphosphoinositol-polyphosphate diphosphatase
3.6.1.53	Mn(2+)-dependent ADP-ribose/CDP-alcohol diphosphatase
3.6.1.54	UDP-2,3-diacylglucosamine diphosphatase
3.6.1.55	8-oxo-dGTP diphosphatase
3.6.1.56	2-hydroxy-dATP diphosphatase
3.6.1.57	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase
3.6.1.58	8-oxo-dGDP phosphatase
3.6.1.59	5'-(N(7)-methyl 5'-triphosphoguanosine)-[mRNA] diphosphatase
3.6.1.60	Diadenosine hexaphosphate hydrolase (AMP-forming)
3.6.1.61	Diadenosine hexaphosphate hydrolase (ATP-forming)
3.6.1.62	5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase
3.6.1.63	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
3.6.1.64	Inosine diphosphate phosphatase
3.6.1.65	(d)CTP diphosphatase
3.6.1.66	XTP/dITP diphosphatase
3.6.1.67	Dihydroneopterin triphosphate diphosphatase
3.6.2.1	Adenylylsulfatase
3.6.2.2	Phosphoadenylylsulfatase
3.6.3.1	Phospholipid-translocating ATPase
3.6.3.2	Magnesium-importing ATPase
3.6.3.3	Cadmium-exporting ATPase
3.6.3.4	Cu(2+)-exporting ATPase
3.6.3.5	Zinc-exporting ATPase
3.6.3.6	Proton-exporting ATPase
3.6.3.7	Sodium-exporting ATPase
3.6.3.8	Calcium-transporting ATPase
3.6.3.9	Sodium/potassium-exchanging ATPase
3.6.3.10	Hydrogen/potassium-exchanging ATPase
3.6.3.11	Chloride-transporting ATPase
3.6.3.12	Potassium-transporting ATPase
3.6.3.13	Transferred entry: 3.6.3.1
3.6.3.14	H(+)-transporting two-sector ATPase
3.6.3.15	Sodium-transporting two-sector ATPase
3.6.3.16	Arsenite-transporting ATPase
3.6.3.17	Monosaccharide-transporting ATPase
3.6.3.18	Oligosaccharide-transporting ATPase
3.6.3.19	Maltose-transporting ATPase
3.6.3.20	Glycerol-3-phosphate-transporting ATPase
3.6.3.21	Polar-amino-acid-transporting ATPase
3.6.3.22	Nonpolar-amino-acid-transporting ATPase
3.6.3.23	Oligopeptide-transporting ATPase
3.6.3.24	Nickel-transporting ATPase
3.6.3.25	Sulfate-transporting ATPase
3.6.3.26	Nitrate-transporting ATPase
3.6.3.27	Phosphate-transporting ATPase
3.6.3.28	Phosphonate-transporting ATPase
3.6.3.29	Molybdate-transporting ATPase
3.6.3.30	Fe(3+)-transporting ATPase
3.6.3.31	Polyamine-transporting ATPase
3.6.3.32	Quaternary-amine-transporting ATPase
3.6.3.33	Vitamin B12-transporting ATPase
3.6.3.34	Iron-chelate-transporting ATPase
3.6.3.35	Manganese-transporting ATPase
3.6.3.36	Taurine-transporting ATPase
3.6.3.37	Guanine-transporting ATPase
3.6.3.38	Capsular-polysaccharide-transporting ATPase
3.6.3.39	Lipopolysaccharide-transporting ATPase
3.6.3.40	Teichoic-acid-transporting ATPase
3.6.3.41	Heme-transporting ATPase
3.6.3.42	Beta-glucan-transporting ATPase
3.6.3.43	Peptide-transporting ATPase
3.6.3.44	Xenobiotic-transporting ATPase
3.6.3.45	Transferred entry: 3.6.3.44
3.6.3.46	Cadmium-transporting ATPase
3.6.3.47	Fatty-acyl-CoA-transporting ATPase
3.6.3.48	Alpha-factor-transporting ATPase
3.6.3.49	Channel-conductance-controlling ATPase
3.6.3.50	Protein-secreting ATPase
3.6.3.51	Mitochondrial protein-transporting ATPase
3.6.3.52	Chloroplast protein-transporting ATPase
3.6.3.53	Ag(+)-exporting ATPase
3.6.3.54	Cu(+) exporting ATPase
3.6.3.55	Tungstate-importing ATPase
3.6.4.1	Myosin ATPase
3.6.4.2	Dynein ATPase
3.6.4.3	Microtubule-severing ATPase
3.6.4.4	Plus-end-directed kinesin ATPase
3.6.4.5	Minus-end-directed kinesin ATPase
3.6.4.6	Vesicle-fusing ATPase
3.6.4.7	Peroxisome-assembly ATPase
3.6.4.8	Proteasome ATPase
3.6.4.9	Chaperonin ATPase
3.6.4.10	Non-chaperonin molecular chaperone ATPase
3.6.4.11	Nucleoplasmin ATPase
3.6.4.12	DNA helicase
3.6.4.13	RNA helicase
3.6.5.1	Heterotrimeric G-protein GTPase
3.6.5.2	Small monomeric GTPase
3.6.5.3	Protein-synthesizing GTPase
3.6.5.4	Signal-recognition-particle GTPase
3.6.5.5	Dynamin GTPase
3.6.5.6	Tubulin GTPase
3.7.1.1	Oxaloacetase
3.7.1.2	Fumarylacetoacetase
3.7.1.3	Kynureninase
3.7.1.4	Phloretin hydrolase
3.7.1.5	Acylpyruvate hydrolase
3.7.1.6	Acetylpyruvate hydrolase
3.7.1.7	Beta-diketone hydrolase
3.7.1.8	2,6-dioxo-6-phenylhexa-3-enoate hydrolase
3.7.1.9	2-hydroxymuconate-6-semialdehyde hydrolase
3.7.1.10	Cyclohexane-1,3-dione hydrolase
3.7.1.11	Cyclohexane-1,2-dione hydrolase
3.7.1.12	Cobalt-precorrin 5A hydrolase
3.7.1.13	2-hydroxy-6-oxo-6-(2-aminophenyl)hexa-2,4-dienoate hydrolase
3.7.1.14	2-hydroxy-6-oxonona-2,4-dienedioate hydrolase
3.7.1.15	Transferred entry: 4.2.1.138
3.7.1.16	Transferred entry: 3.3.2.12
3.7.1.17	hydrolase
3.7.1.18	6-oxocamphor hydrolase
3.7.1.19	2,6-dihydroxypseudooxynicotine hydrolase
3.7.1.20	3-fumarylpyruvate hydrolase
3.7.1.21	6-oxocyclohex-1-ene-1-carbonyl-CoA hydratase
3.7.1.22	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)
3.8.1.1	Alkylhalidase
3.8.1.2	(S)-2-haloacid dehalogenase
3.8.1.3	Haloacetate dehalogenase
3.8.1.4	Transferred entry: 1.21.99.4
3.8.1.5	Haloalkane dehalogenase
3.8.1.6	4-chlorobenzoate dehalogenase
3.8.1.7	4-chlorobenzoyl-CoA dehalogenase
3.8.1.8	Atrazine chlorohydrolase
3.8.1.9	(R)-2-haloacid dehalogenase
3.8.1.10	2-haloacid dehalogenase (configuration-inverting)
3.8.1.11	2-haloacid dehalogenase (configuration-retaining)
3.8.2.1	Transferred entry: 3.1.8.2
3.9.1.1	Phosphoamidase
3.9.1.2	Protein arginine phosphatase
3.10.1.1	N-sulfoglucosamine sulfohydrolase
3.10.1.2	Cyclamate sulfohydrolase
3.11.1.1	Phosphonoacetaldehyde hydrolase
3.11.1.2	Phosphonoacetate hydrolase
3.11.1.3	Phosphonopyruvate hydrolase
3.12.1.1	Trithionate hydrolase
3.13.1.1	UDP-sulfoquinovose synthase
3.13.1.2	Deleted entry
3.13.1.3	2'-hydroxybiphenyl-2-sulfinate desulfinase
3.13.1.4	3-sulfinopropanoyl-CoA desulfinase
4.1.1.1	Pyruvate decarboxylase
4.1.1.2	Oxalate decarboxylase
4.1.1.3	Oxaloacetate decarboxylase
4.1.1.4	Acetoacetate decarboxylase
4.1.1.5	Acetolactate decarboxylase
4.1.1.6	Aconitate decarboxylase
4.1.1.7	Benzoylformate decarboxylase
4.1.1.8	Oxalyl-CoA decarboxylase
4.1.1.9	Malonyl-CoA decarboxylase
4.1.1.10	Transferred entry: 4.1.1.12
4.1.1.11	Aspartate 1-decarboxylase
4.1.1.12	Aspartate 4-decarboxylase
4.1.1.13	Deleted entry
4.1.1.14	Valine decarboxylase
4.1.1.15	Glutamate decarboxylase
4.1.1.16	Hydroxyglutamate decarboxylase
4.1.1.17	Ornithine decarboxylase
4.1.1.18	Lysine decarboxylase
4.1.1.19	Arginine decarboxylase
4.1.1.20	Diaminopimelate decarboxylase
4.1.1.21	Phosphoribosylaminoimidazole carboxylase
4.1.1.22	Histidine decarboxylase
4.1.1.23	Orotidine-5'-phosphate decarboxylase
4.1.1.24	Aminobenzoate decarboxylase
4.1.1.25	Tyrosine decarboxylase
4.1.1.26	Transferred entry: 4.1.1.28
4.1.1.27	Transferred entry: 4.1.1.28
4.1.1.28	Aromatic-L-amino-acid decarboxylase
4.1.1.29	Sulfinoalanine decarboxylase
4.1.1.30	Pantothenoylcysteine decarboxylase
4.1.1.31	Phosphoenolpyruvate carboxylase
4.1.1.32	Phosphoenolpyruvate carboxykinase (GTP)
4.1.1.33	Diphosphomevalonate decarboxylase
4.1.1.34	Dehydro-L-gulonate decarboxylase
4.1.1.35	UDP-glucuronate decarboxylase
4.1.1.36	Phosphopantothenoylcysteine decarboxylase
4.1.1.37	Uroporphyrinogen decarboxylase
4.1.1.38	Phosphoenolpyruvate carboxykinase (diphosphate)
4.1.1.39	Ribulose-bisphosphate carboxylase
4.1.1.40	Hydroxypyruvate decarboxylase
4.1.1.41	Methylmalonyl-CoA decarboxylase
4.1.1.42	Carnitine decarboxylase
4.1.1.43	Phenylpyruvate decarboxylase
4.1.1.44	4-carboxymuconolactone decarboxylase
4.1.1.45	Aminocarboxymuconate-semialdehyde decarboxylase
4.1.1.46	o-pyrocatechuate decarboxylase
4.1.1.47	Tartronate-semialdehyde synthase
4.1.1.48	Indole-3-glycerol-phosphate synthase
4.1.1.49	Phosphoenolpyruvate carboxykinase (ATP)
4.1.1.50	Adenosylmethionine decarboxylase
4.1.1.51	3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase
4.1.1.52	6-methylsalicylate decarboxylase
4.1.1.53	Phenylalanine decarboxylase
4.1.1.54	Dihydroxyfumarate decarboxylase
4.1.1.55	4,5-dihydroxyphthalate decarboxylase
4.1.1.56	3-oxolaurate decarboxylase
4.1.1.57	Methionine decarboxylase
4.1.1.58	Orsellinate decarboxylase
4.1.1.59	Gallate decarboxylase
4.1.1.60	Stipitatonate decarboxylase
4.1.1.61	4-hydroxybenzoate decarboxylase
4.1.1.62	Gentisate decarboxylase
4.1.1.63	Protocatechuate decarboxylase
4.1.1.64	2,2-dialkylglycine decarboxylase (pyruvate)
4.1.1.65	Phosphatidylserine decarboxylase
4.1.1.66	Uracil-5-carboxylate decarboxylase
4.1.1.67	UDP-galacturonate decarboxylase
4.1.1.68	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase
4.1.1.69	3,4-dihydroxyphthalate decarboxylase
4.1.1.70	Glutaconyl-CoA decarboxylase
4.1.1.71	2-oxoglutarate decarboxylase
4.1.1.72	Branched-chain-2-oxoacid decarboxylase
4.1.1.73	Tartrate decarboxylase
4.1.1.74	Indolepyruvate decarboxylase
4.1.1.75	5-guanidino-2-oxopentanoate decarboxylase
4.1.1.76	Arylmalonate decarboxylase
4.1.1.77	2-oxo-3-hexenedioate decarboxylase
4.1.1.78	Acetylenedicarboxylate decarboxylase
4.1.1.79	Sulfopyruvate decarboxylase
4.1.1.80	4-hydroxyphenylpyruvate decarboxylase
4.1.1.81	Threonine-phosphate decarboxylase
4.1.1.82	Phosphonopyruvate decarboxylase
4.1.1.83	4-hydroxyphenylacetate decarboxylase
4.1.1.84	D-dopachrome decarboxylase
4.1.1.85	3-dehydro-L-gulonate-6-phosphate decarboxylase
4.1.1.86	Diaminobutyrate decarboxylase
4.1.1.87	Malonyl-S-ACP decarboxylase
4.1.1.88	Biotin-independent malonate decarboxylase
4.1.1.89	Biotin-dependent malonate decarboxylase
4.1.1.90	Peptidyl-glutamate 4-carboxylase
4.1.1.91	Salicylate decarboxylase
4.1.1.92	Indole-3-carboxylate decarboxylase
4.1.1.93	Pyrrole-2-carboxylate decarboxylase
4.1.1.94	Ethylmalonyl-CoA decarboxylase
4.1.1.95	L-glutamyl-[BtrI acyl-carrier protein] decarboxylase
4.1.1.96	Carboxynorspermidine decarboxylase
4.1.1.97	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
4.1.1.98	4-hydroxy-3-polyprenylbenzoate decarboxylase
4.1.1.99	Phosphomevalonate decarboxylase
4.1.1.100	Prephenate decarboxylase
4.1.1.101	Malolactic enzyme
4.1.1.102	Phenacrylate decarboxylase
4.1.2.1	Transferred entry: 4.1.3.16
4.1.2.2	Ketotetrose-phosphate aldolase
4.1.2.3	Deleted entry
4.1.2.4	Deoxyribose-phosphate aldolase
4.1.2.5	L-threonine aldolase
4.1.2.6	Deleted entry
4.1.2.7	Transferred entry: 4.1.2.13
4.1.2.8	Indole-3-glycerol-phosphate lyase
4.1.2.9	Phosphoketolase
4.1.2.10	(R)-mandelonitrile lyase
4.1.2.11	Hydroxymandelonitrile lyase
4.1.2.12	2-dehydropantoate aldolase
4.1.2.13	Fructose-bisphosphate aldolase
4.1.2.14	2-dehydro-3-deoxy-phosphogluconate aldolase
4.1.2.15	Transferred entry: 2.5.1.54
4.1.2.16	Transferred entry: 2.5.1.55
4.1.2.17	L-fuculose-phosphate aldolase
4.1.2.18	2-dehydro-3-deoxy-L-pentonate aldolase
4.1.2.19	Rhamnulose-1-phosphate aldolase
4.1.2.20	2-dehydro-3-deoxyglucarate aldolase
4.1.2.21	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
4.1.2.22	Fructose-6-phosphate phosphoketolase
4.1.2.23	3-deoxy-D-manno-octulosonate aldolase
4.1.2.24	Dimethylaniline-N-oxide aldolase
4.1.2.25	Dihydroneopterin aldolase
4.1.2.26	Phenylserine aldolase
4.1.2.27	Sphinganine-1-phosphate aldolase
4.1.2.28	2-dehydro-3-deoxy-D-pentonate aldolase
4.1.2.29	5-dehydro-2-deoxyphosphogluconate aldolase
4.1.2.30	17-alpha-hydroxyprogesterone aldolase
4.1.2.31	Transferred entry: 4.1.3.16
4.1.2.32	Trimethylamine-oxide aldolase
4.1.2.33	Fucosterol-epoxide lyase
4.1.2.34	4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase
4.1.2.35	Propioin synthase
4.1.2.36	Lactate aldolase
4.1.2.37	Transferred entry: 4.1.2.46 and 4.1.2.47
4.1.2.38	Benzoin aldolase
4.1.2.39	Transferred entry: 4.1.2.46 and 4.1.2.47
4.1.2.40	Tagatose-bisphosphate aldolase
4.1.2.41	Vanillin synthase
4.1.2.42	D-threonine aldolase
4.1.2.43	3-hexulose-6-phosphate synthase
4.1.2.44	2,3-epoxybenzoyl-CoA dihydrolase
4.1.2.45	Trans-o-hydroxybenzylidenepyruvate hydratase-aldolase
4.1.2.46	Aliphatic (R)-hydroxynitrile lyase
4.1.2.47	(S)-hydroxynitrile lyase
4.1.2.48	Low-specificity L-threonine aldolase
4.1.2.49	L-allo-threonine aldolase
4.1.2.50	6-carboxytetrahydropterin synthase
4.1.2.51	2-dehydro-3-deoxy-D-gluconate aldolase
4.1.2.52	4-hydroxy-2-oxoheptanedioate aldolase
4.1.2.53	2-keto-3-deoxy-L-rhamnonate aldolase
4.1.2.54	L-threo-3-deoxy-hexylosonate aldolase
4.1.2.55	aldolase
4.1.2.56	2-amino-4,5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase
4.1.2.57	Sulfofructosephosphate aldolase
4.1.3.1	Isocitrate lyase
4.1.3.2	Transferred entry: 2.3.3.9
4.1.3.3	N-acetylneuraminate lyase
4.1.3.4	Hydroxymethylglutaryl-CoA lyase
4.1.3.5	Transferred entry: 2.3.3.10
4.1.3.6	Citrate (pro-3S)-lyase
4.1.3.7	Transferred entry: 2.3.3.1
4.1.3.8	Transferred entry: 2.3.3.8
4.1.3.9	Transferred entry: 2.3.3.11
4.1.3.10	Transferred entry: 2.3.3.7
4.1.3.11	Transferred entry: 2.3.3.12
4.1.3.12	Transferred entry: 2.3.3.13
4.1.3.13	Oxalomalate lyase
4.1.3.14	L-erythro-3-hydroxyaspartate aldolase
4.1.3.15	Transferred entry: 2.2.1.5
4.1.3.16	4-hydroxy-2-oxoglutarate aldolase
4.1.3.17	4-hydroxy-4-methyl-2-oxoglutarate aldolase
4.1.3.18	Transferred entry: 2.2.1.6
4.1.3.19	Transferred entry: 2.5.1.56
4.1.3.20	Transferred entry: 2.5.1.57
4.1.3.21	Transferred entry: 2.3.3.14
4.1.3.22	Citramalate lyase
4.1.3.23	Transferred entry: 2.3.3.2
4.1.3.24	Malyl-CoA lyase
4.1.3.25	(S)-citramalyl-CoA lyase
4.1.3.26	3-hydroxy-3-isohexenylglutaryl-CoA lyase
4.1.3.27	Anthranilate synthase
4.1.3.28	Transferred entry: 2.3.3.3
4.1.3.29	Transferred entry: 2.3.3.4
4.1.3.30	Methylisocitrate lyase
4.1.3.31	Transferred entry: 2.3.3.5
4.1.3.32	2,3-dimethylmalate lyase
4.1.3.33	Transferred entry: 2.3.3.6
4.1.3.34	Citryl-CoA lyase
4.1.3.35	(1-hydroxycyclohexan-1-yl)acetyl-CoA lyase
4.1.3.36	1,4-dihydroxy-2-naphthoyl-CoA synthase
4.1.3.37	Transferred entry: 2.2.1.7
4.1.3.38	Aminodeoxychorismate lyase
4.1.3.39	4-hydroxy-2-oxovalerate aldolase
4.1.3.40	Chorismate lyase
4.1.3.41	3-hydroxy-D-aspartate aldolase
4.1.3.42	(4S)-4-hydroxy-2-oxoglutarate aldolase
4.1.3.43	4-hydroxy-2-oxohexanoate aldolase
4.1.3.44	tRNA 4-demethylwyosine synthase (AdoMet-dependent)
4.1.3.45	3-hydroxybenzoate synthase
4.1.3.46	(R)-citramalyl-CoA lyase
4.1.99.1	Tryptophanase
4.1.99.2	Tyrosine phenol-lyase
4.1.99.3	Deoxyribodipyrimidine photo-lyase
4.1.99.4	Transferred entry: 3.5.99.7
4.1.99.5	Aldehyde oxygenase (deformylating)
4.1.99.6	Transferred entry: 4.2.3.6
4.1.99.7	Transferred entry: 4.2.3.9
4.1.99.8	Transferred entry: 4.2.3.119 and 4.2.3.120
4.1.99.9	Transferred entry: 4.2.3.15
4.1.99.10	Transferred entry: 4.2.3.16
4.1.99.11	Benzylsuccinate synthase
4.1.99.12	3,4-dihydroxy-2-butanone-4-phosphate synthase
4.1.99.13	(6-4)DNA photolyase
4.1.99.14	Spore photoproduct lyase
4.1.99.15	Deleted entry
4.1.99.16	Geosmin synthase
4.1.99.17	Phosphomethylpyrimidine synthase
4.1.99.18	Cyclic pyranopterin phosphate synthase
4.1.99.19	2-iminoacetate synthase
4.1.99.20	3-amino-4-hydroxybenzoate synthase
4.1.99.21	Transferred entry: 4.2.3.153
4.2.1.1	Carbonate dehydratase
4.2.1.2	Fumarate hydratase
4.2.1.3	Aconitate hydratase
4.2.1.4	Transferred entry: 4.2.1.3
4.2.1.5	Arabinonate dehydratase
4.2.1.6	Galactonate dehydratase
4.2.1.7	Altronate dehydratase
4.2.1.8	Mannonate dehydratase
4.2.1.9	Dihydroxy-acid dehydratase
4.2.1.10	3-dehydroquinate dehydratase
4.2.1.11	Phosphopyruvate hydratase
4.2.1.12	Phosphogluconate dehydratase
4.2.1.13	Transferred entry: 4.3.1.17
4.2.1.14	Transferred entry: 4.3.1.18
4.2.1.15	Transferred entry: 4.4.1.1
4.2.1.16	Transferred entry: 4.3.1.19
4.2.1.17	Enoyl-CoA hydratase
4.2.1.18	Methylglutaconyl-CoA hydratase
4.2.1.19	Imidazoleglycerol-phosphate dehydratase
4.2.1.20	Tryptophan synthase
4.2.1.21	Transferred entry: 4.2.1.22
4.2.1.22	Cystathionine beta-synthase
4.2.1.23	Deleted entry
4.2.1.24	Porphobilinogen synthase
4.2.1.25	L-arabinonate dehydratase
4.2.1.26	Transferred entry: 4.3.1.9
4.2.1.27	Acetylenecarboxylate hydratase
4.2.1.28	Propanediol dehydratase
4.2.1.29	Transferred entry: 4.99.1.6
4.2.1.30	Glycerol dehydratase
4.2.1.31	Maleate hydratase
4.2.1.32	L(+)-tartrate dehydratase
4.2.1.33	3-isopropylmalate dehydratase
4.2.1.34	(S)-2-methylmalate dehydratase
4.2.1.35	(R)-2-methylmalate dehydratase
4.2.1.36	Homoaconitate hydratase
4.2.1.37	Transferred entry: 3.3.2.4
4.2.1.38	Transferred entry: 4.3.1.20
4.2.1.39	Gluconate dehydratase
4.2.1.40	Glucarate dehydratase
4.2.1.41	5-dehydro-4-deoxyglucarate dehydratase
4.2.1.42	Galactarate dehydratase
4.2.1.43	2-dehydro-3-deoxy-L-arabinonate dehydratase
4.2.1.44	Myo-inosose-2 dehydratase
4.2.1.45	CDP-glucose 4,6-dehydratase
4.2.1.46	dTDP-glucose 4,6-dehydratase
4.2.1.47	GDP-mannose 4,6-dehydratase
4.2.1.48	D-glutamate cyclase
4.2.1.49	Urocanate hydratase
4.2.1.50	Pyrazolylalanine synthase
4.2.1.51	Prephenate dehydratase
4.2.1.52	Transferred entry: 4.3.3.7
4.2.1.53	Oleate hydratase
4.2.1.54	Lactoyl-CoA dehydratase
4.2.1.55	3-hydroxybutyryl-CoA dehydratase
4.2.1.56	Itaconyl-CoA hydratase
4.2.1.57	Isohexenylglutaconyl-CoA hydratase
4.2.1.58	Transferred entry: 4.2.1.59
4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase
4.2.1.60	Transferred entry: 4.2.1.59
4.2.1.61	Transferred entry: 4.2.1.59
4.2.1.62	5-alpha-hydroxysteroid dehydratase
4.2.1.63	Transferred entry: 3.3.2.9 and 3.3.2.10
4.2.1.64	Transferred entry: 3.3.2.9 and 3.3.2.10
4.2.1.65	3-cyanoalanine hydratase
4.2.1.66	Cyanide hydratase
4.2.1.67	D-fuconate dehydratase
4.2.1.68	L-fuconate dehydratase
4.2.1.69	Cyanamide hydratase
4.2.1.70	Pseudouridylate synthase
4.2.1.71	Transferred entry: 4.2.1.27
4.2.1.72	Transferred entry: 4.1.1.78
4.2.1.73	Protoaphin-aglucone dehydratase (cyclizing)
4.2.1.74	Long-chain-enoyl-CoA hydratase
4.2.1.75	Uroporphyrinogen-III synthase
4.2.1.76	UDP-glucose 4,6-dehydratase
4.2.1.77	Trans-L-3-hydroxyproline dehydratase
4.2.1.78	(S)-norcoclaurine synthase
4.2.1.79	2-methylcitrate dehydratase
4.2.1.80	2-oxopent-4-enoate hydratase
4.2.1.81	D(-)-tartrate dehydratase
4.2.1.82	Xylonate dehydratase
4.2.1.83	4-oxalmesaconate hydratase
4.2.1.84	Nitrile hydratase
4.2.1.85	Dimethylmaleate hydratase
4.2.1.86	Transferred entry: 4.2.1.98
4.2.1.87	Octopamine dehydratase
4.2.1.88	(R)-synephrine
4.2.1.89	Transferred entry: 2.8.3.21 and 4.2.1.149
4.2.1.90	L-rhamnonate dehydratase
4.2.1.91	Arogenate dehydratase
4.2.1.92	Hydroperoxide dehydratase
4.2.1.93	ATP-dependent NAD(P)H-hydrate dehydratase
4.2.1.94	Scytalone dehydratase
4.2.1.95	Kievitone hydratase
4.2.1.96	4a-hydroxytetrahydrobiopterin dehydratase
4.2.1.97	Phaseollidin hydratase
4.2.1.98	16-alpha-hydroxyprogesterone dehydratase
4.2.1.99	2-methylisocitrate dehydratase
4.2.1.100	Cyclohexa-1,5-dienecarbonyl-CoA hydratase
4.2.1.101	Trans-feruloyl-CoA hydratase
4.2.1.102	Transferred entry: 4.2.1.100
4.2.1.103	Cyclohexyl-isocyanide hydratase
4.2.1.104	Cyanase
4.2.1.105	2-hydroxyisoflavanone dehydratase
4.2.1.106	Bile-acid 7-alpha-dehydratase
4.2.1.107	hydratase
